Model,TGL | TRAD,TGL | TRAD+CrossNGO,TGL | mBERT Embdng,TGL | ALL (mBERT),TGL | XLM-R Embdng,TGL | ALL (XLM-R),BCL | TRAD,BCL | TRAD+CrossNGO,BCL | mBERT Embdng,BCL | ALL (mBERT),BCL | XLM-R Embdng,BCL | ALL (XLM-R),CEB | TRAD,CEB | TRAD+CrossNGO,CEB | mBERT Embdng,CEB | ALL (mBERT),CEB | XLM-R Embdng,CEB | ALL (XLM-R)
TGL,52.075480000000006,47.92452,51.698119999999996,52.07546,55.471720000000005,56.981139999999996,50.0,47.33334,41.33334,46.0,43.33332,43.33334,47.83852,49.010360000000006,43.5321,44.67908,39.22984,39.805400000000006
BCL,42.26414,40.377359999999996,32.830200000000005,35.849039999999995,29.056599999999996,30.566039999999997,74.0,76.0,72.66668,75.33332,76.0,78.66666000000001,60.17806,59.316779999999994,64.45964000000001,65.32506,62.749480000000005,63.32090000000001
CEB,49.056599999999996,49.056599999999996,42.26414,42.26414,44.90566,46.79244,62.66668,64.66668,49.33332,54.0,53.33334,54.66668,67.62732000000001,67.91718,71.92960000000001,71.64804,70.50518,70.50518
TGL+BCL,41.88678,40.75472,55.4717,53.20756,56.98116,58.86794,68.66666000000001,72.66668,70.66666000000001,72.66666000000001,69.33332,70.66668,60.46378,56.45548,55.565239999999996,57.0062,57.296079999999996,57.86336
BCL+CEB,40.0,42.64148,45.660360000000004,45.660360000000004,45.283,44.5283,68.0,73.33333999999999,76.66666000000001,77.33332,77.33333999999999,79.33333999999999,66.19876000000001,67.90888,74.78676,75.07246,71.06004,73.63564
CEB+TGL,46.03772,46.79244,52.45284,53.20756,51.32075999999999,51.69812,56.66668,57.33332,49.99998,49.33332,51.33332,53.33332,65.62318,66.48446,72.48032,72.76604,70.78672,69.92544000000001
ALL,44.15092,45.283,51.698119999999996,53.96225999999999,53.20756,54.717,64.66666000000001,69.33333999999999,73.33332,78.00002,75.33333999999999,75.33336,66.19876000000001,67.3499,74.2029,75.05176,75.0766,73.64804
