fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro,Model,Test_Lang,Features,col
0,mono_tagalog,tagalog_test,mbert,52.8302,0.527,0.528,0.242,0.2869,0.5196666666666666,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_tagalog,bikol_test,mbert,46.6667,0.453,0.467,0.362,0.116,0.4416666666666666,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,mono_tagalog,cebuano_test,mbert,37.1429,0.361,0.371,0.482,-0.1047,0.2766666666666666,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,mono_tagalog,tagalog_test,all,52.8302,0.536,0.528,0.245,0.2838,0.517,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,mono_tagalog,bikol_test,all,56.6667,0.567,0.567,0.275,0.2935,0.5363333333333333,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,mono_tagalog,cebuano_test,all,38.5714,0.332,0.386,0.456,-0.0697,0.28,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,mono_tagalog,tagalog_test,xlmr,58.4906,0.591,0.585,0.216,0.3697,0.5666666666666668,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,mono_tagalog,bikol_test,xlmr,43.3333,0.0,0.433,0.328,0.0957,0.2713333333333333,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,mono_tagalog,cebuano_test,xlmr,37.1429,0.506,0.371,0.198,0.1382,0.294,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,mono_tagalog,tagalog_test,all_xlmr,60.3774,0.608,0.604,0.206,0.3984,0.5866666666666667,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,mono_tagalog,bikol_test,all_xlmr,40.0,0.611,0.4,0.335,0.0576,0.2323333333333333,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,mono_tagalog,cebuano_test,all_xlmr,41.4286,0.52,0.414,0.187,0.1837,0.3353333333333333,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,mono_bikol,tagalog_test,mbert,32.0755,0.0,0.321,0.268,0.0489,0.215,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_bikol,bikol_test,mbert,83.3333,0.869,0.833,0.106,0.7191,0.7026666666666667,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,mono_bikol,cebuano_test,mbert,62.8571,0.629,0.629,0.19,0.4196,0.5623333333333334,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,mono_bikol,tagalog_test,all,37.7358,0.0,0.377,0.249,0.1193,0.307,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,mono_bikol,bikol_test,all,83.3333,0.805,0.833,0.094,0.7222,0.6983333333333334,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,mono_bikol,cebuano_test,all,65.7143,0.645,0.657,0.208,0.4459,0.5823333333333334,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,mono_bikol,tagalog_test,xlmr,28.3019,0.0,0.283,0.283,0.0,0.147,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,mono_bikol,bikol_test,xlmr,86.6667,0.881,0.867,0.097,0.7765,0.7949999999999999,BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,mono_bikol,cebuano_test,xlmr,67.1429,0.672,0.671,0.256,0.4386,0.5623333333333334,BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,mono_bikol,tagalog_test,all_xlmr,33.9623,0.0,0.34,0.261,0.0734,0.245,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,mono_bikol,bikol_test,all_xlmr,90.0,0.911,0.9,0.078,0.8315,0.8203333333333332,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,mono_bikol,cebuano_test,all_xlmr,70.0,0.716,0.7,0.239,0.4899,0.6110000000000001,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,mono_cebuano,tagalog_test,mbert,49.0566,0.532,0.491,0.278,0.2163,0.4536666666666666,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng
0,mono_cebuano,bikol_test,mbert,70.0,0.795,0.7,0.095,0.5431,0.652,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng
0,mono_cebuano,cebuano_test,mbert,82.8571,0.829,0.829,0.094,0.7287,0.8143333333333334,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
0,mono_cebuano,tagalog_test,all,50.9434,0.562,0.509,0.268,0.247,0.4826666666666666,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,mono_cebuano,bikol_test,all,73.3333,0.807,0.733,0.088,0.5897,0.685,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,mono_cebuano,cebuano_test,all,78.5714,0.786,0.786,0.116,0.6602,0.759,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,mono_cebuano,tagalog_test,xlmr,47.1698,0.471,0.472,0.28,0.1944,0.455,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
0,mono_cebuano,bikol_test,xlmr,60.0,0.736,0.6,0.128,0.4231,0.5743333333333333,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
0,mono_cebuano,cebuano_test,xlmr,80.0,0.794,0.8,0.13,0.6791,0.7853333333333333,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
0,mono_cebuano,tagalog_test,all_xlmr,50.9434,0.516,0.509,0.262,0.2503,0.4936666666666666,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
0,mono_cebuano,bikol_test,all_xlmr,66.6667,0.787,0.667,0.102,0.5098,0.64,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
0,mono_cebuano,cebuano_test,all_xlmr,80.0,0.794,0.8,0.13,0.6791,0.7853333333333333,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
0,bi_bikol_tagalog,tagalog_test,mbert,56.6038,0.573,0.566,0.23,0.3397,0.5613333333333334,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
0,bi_bikol_tagalog,bikol_test,mbert,83.3333,0.838,0.833,0.094,0.7297,0.7963333333333334,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
0,bi_bikol_tagalog,cebuano_test,mbert,47.1429,0.442,0.471,0.315,0.1569,0.4283333333333333,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
0,bi_bikol_tagalog,tagalog_test,all,54.717,0.547,0.547,0.238,0.3109,0.5373333333333333,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
0,bi_bikol_tagalog,bikol_test,all,86.6667,0.87,0.867,0.074,0.7861,0.8530000000000001,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
0,bi_bikol_tagalog,cebuano_test,all,50.0,0.498,0.5,0.317,0.1935,0.4826666666666666,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
0,bi_bikol_tagalog,tagalog_test,xlmr,54.717,0.541,0.547,0.238,0.3094,0.5256666666666666,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
