fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro,Model,Test_Lang,Features,col
0,mono_tagalog,tagalog_test,mbert,52.8302,0.527,0.528,0.242,0.2869,0.5196666666666666,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,bi_cebuano_bikol,cebuano_test,mbert,71.4286,0.699,0.714,0.158,0.5487,0.6819999999999999,BCL+CEB,CEB,mBERT Embdng,CEB | mBERT Embdng
3,bi_cebuano_bikol,tagalog_test,all,37.7358,0.465,0.377,0.321,0.0566,0.332,BCL+CEB,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,bi_cebuano_bikol,bikol_test,all,76.6667,0.809,0.767,0.154,0.6147,0.6476666666666667,BCL+CEB,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,bi_cebuano_bikol,cebuano_test,all,71.4286,0.699,0.714,0.158,0.5487,0.6819999999999999,BCL+CEB,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,bi_cebuano_bikol,tagalog_test,xlmr,39.6226,0.434,0.396,0.286,0.1134,0.346,BCL+CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,bi_cebuano_bikol,bikol_test,xlmr,70.0,0.585,0.7,0.181,0.5082,0.528,BCL+CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,bi_cebuano_bikol,cebuano_test,xlmr,65.7143,0.662,0.657,0.181,0.4641,0.638,BCL+CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,bi_cebuano_bikol,tagalog_test,all_xlmr,35.8491,0.407,0.358,0.313,0.0491,0.314,BCL+CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,bi_cebuano_bikol,bikol_test,all_xlmr,70.0,0.692,0.7,0.175,0.5161,0.5953333333333334,BCL+CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,bi_cebuano_bikol,cebuano_test,all_xlmr,67.1429,0.676,0.671,0.176,0.4838,0.6513333333333333,BCL+CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,bi_tagalog_cebuano,tagalog_test,mbert,45.283,0.405,0.453,0.3,0.1489,0.3859999999999999,CEB+TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,bi_tagalog_cebuano,bikol_test,mbert,53.3333,0.7,0.533,0.156,0.3365,0.5356666666666666,CEB+TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,bi_tagalog_cebuano,cebuano_test,mbert,71.4286,0.712,0.714,0.144,0.5493,0.6776666666666666,CEB+TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,bi_tagalog_cebuano,tagalog_test,all,47.1698,0.453,0.472,0.284,0.1837,0.4253333333333333,CEB+TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,bi_tagalog_cebuano,bikol_test,all,50.0,0.682,0.5,0.164,0.2969,0.5026666666666667,CEB+TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,bi_tagalog_cebuano,cebuano_test,all,72.8571,0.724,0.729,0.138,0.5722,0.695,CEB+TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,bi_tagalog_cebuano,tagalog_test,xlmr,49.0566,0.485,0.491,0.271,0.2219,0.4816666666666667,CEB+TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,bi_tagalog_cebuano,bikol_test,xlmr,40.0,0.63,0.4,0.249,0.1276,0.3763333333333333,CEB+TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,bi_tagalog_cebuano,cebuano_test,xlmr,62.8571,0.657,0.629,0.17,0.4226,0.592,CEB+TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,bi_tagalog_cebuano,tagalog_test,all_xlmr,49.0566,0.503,0.491,0.268,0.2261,0.496,CEB+TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,bi_tagalog_cebuano,bikol_test,all_xlmr,43.3333,0.654,0.433,0.229,0.1827,0.4153333333333333,CEB+TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,bi_tagalog_cebuano,cebuano_test,all_xlmr,64.2857,0.669,0.643,0.164,0.4453,0.6106666666666666,CEB+TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
3,all_languages,tagalog_test,mbert,45.283,0.451,0.453,0.286,0.1687,0.447,ALL,TGL,mBERT Embdng,TGL | mBERT Embdng
3,all_languages,bikol_test,mbert,66.6667,0.563,0.667,0.201,0.4536,0.5033333333333333,ALL,BCL,mBERT Embdng,BCL | mBERT Embdng
3,all_languages,cebuano_test,mbert,75.7143,0.748,0.757,0.135,0.616,0.7313333333333333,ALL,CEB,mBERT Embdng,CEB | mBERT Embdng
3,all_languages,tagalog_test,all,50.9434,0.507,0.509,0.257,0.2531,0.5003333333333333,ALL,TGL,ALL (mBERT),TGL | ALL (mBERT)
3,all_languages,bikol_test,all,70.0,0.585,0.7,0.181,0.5064,0.528,ALL,BCL,ALL (mBERT),BCL | ALL (mBERT)
3,all_languages,cebuano_test,all,77.1429,0.76,0.771,0.129,0.6371,0.742,ALL,CEB,ALL (mBERT),CEB | ALL (mBERT)
3,all_languages,tagalog_test,xlmr,52.8302,0.536,0.528,0.247,0.2857,0.5333333333333333,ALL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
3,all_languages,bikol_test,xlmr,63.3333,0.559,0.633,0.214,0.4054,0.4763333333333333,ALL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
3,all_languages,cebuano_test,xlmr,70.0,0.703,0.7,0.149,0.5287,0.6676666666666667,ALL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
3,all_languages,tagalog_test,all_xlmr,50.9434,0.531,0.509,0.248,0.2623,0.5126666666666667,ALL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
3,all_languages,bikol_test,all_xlmr,66.6667,0.562,0.667,0.201,0.4555,0.502,ALL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
3,all_languages,cebuano_test,all_xlmr,68.5714,0.684,0.686,0.162,0.5042,0.651,ALL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,mono_tagalog,tagalog_test,mbert,47.1698,0.482,0.472,0.267,0.2102,0.4753333333333333,TGL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,mono_tagalog,bikol_test,mbert,20.0,0.0,0.2,0.217,-0.0198,0.1423333333333333,TGL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,mono_tagalog,cebuano_test,mbert,36.2319,0.493,0.362,0.43,-0.052,0.3383333333333334,TGL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,mono_tagalog,tagalog_test,all,45.283,0.451,0.453,0.287,0.1772,0.4606666666666666,TGL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,mono_tagalog,bikol_test,all,23.3333,0.0,0.233,0.209,0.0129,0.1843333333333333,TGL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,mono_tagalog,cebuano_test,all,37.6812,0.502,0.377,0.424,-0.0327,0.3476666666666667,TGL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,mono_tagalog,tagalog_test,xlmr,50.9434,0.512,0.509,0.25,0.2599,0.5036666666666666,TGL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
4,mono_tagalog,bikol_test,xlmr,36.6667,0.608,0.367,0.279,0.0625,0.256,TGL,BCL,XLM-R Embdng,BCL | XLM-R Embdng
4,mono_tagalog,cebuano_test,xlmr,30.4348,0.591,0.304,0.228,0.067,0.252,TGL,CEB,XLM-R Embdng,CEB | XLM-R Embdng
4,mono_tagalog,tagalog_test,all_xlmr,47.1698,0.472,0.472,0.273,0.2022,0.4716666666666667,TGL,TGL,ALL (XLM-R),TGL | ALL (XLM-R)
4,mono_tagalog,bikol_test,all_xlmr,36.6667,0.608,0.367,0.279,0.0625,0.256,TGL,BCL,ALL (XLM-R),BCL | ALL (XLM-R)
4,mono_tagalog,cebuano_test,all_xlmr,31.8841,0.489,0.319,0.235,0.08,0.2736666666666666,TGL,CEB,ALL (XLM-R),CEB | ALL (XLM-R)
4,mono_bikol,tagalog_test,mbert,28.3019,0.26,0.283,0.27,0.0118,0.1953333333333333,BCL,TGL,mBERT Embdng,TGL | mBERT Embdng
4,mono_bikol,bikol_test,mbert,80.0,0.787,0.8,0.117,0.6768,0.722,BCL,BCL,mBERT Embdng,BCL | mBERT Embdng
4,mono_bikol,cebuano_test,mbert,60.8696,0.564,0.609,0.268,0.3563,0.5436666666666666,BCL,CEB,mBERT Embdng,CEB | mBERT Embdng
4,mono_bikol,tagalog_test,all,28.3019,0.0,0.283,0.285,-0.0005,0.207,BCL,TGL,ALL (mBERT),TGL | ALL (mBERT)
4,mono_bikol,bikol_test,all,83.3333,0.827,0.833,0.098,0.7331,0.7863333333333333,BCL,BCL,ALL (mBERT),BCL | ALL (mBERT)
4,mono_bikol,cebuano_test,all,63.7681,0.594,0.638,0.249,0.4012,0.5603333333333333,BCL,CEB,ALL (mBERT),CEB | ALL (mBERT)
4,mono_bikol,tagalog_test,xlmr,26.4151,0.0,0.264,0.264,0.0,0.1393333333333333,BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng
