train_set,test_set,feature_set,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std
all_languages,bikol_test,all,78.00002,14.259514952024139,0.7588,0.16798273720832155,0.7802,0.14274697895227065,0.1246,0.09355907224849977,0.6450400000000001,0.2328494642467532,0.7171333333333334,0.1820621993837393
all_languages,bikol_test,all_xlmr,75.33336,11.925706594495773,0.7445999999999999,0.13573614109735102,0.7535999999999999,0.11936414872146495,0.1278,0.06532763580598949,0.60884,0.1853366477521378,0.6849999999999999,0.14700774733930783
all_languages,bikol_test,mbert,73.33332,14.90711612324798,0.7098,0.17048518997261905,0.7332000000000001,0.14903422425738327,0.1588,0.0965334139042021,0.5675000000000001,0.2472507431738073,0.6699999999999999,0.19321073699173374
all_languages,bikol_test,trad,64.66666000000001,8.36656839259681,0.628,0.09284664775854862,0.6466,0.08334746546836323,0.198,0.05229244687332961,0.43548,0.12866940972896393,0.5538000000000001,0.08719951579885953
all_languages,bikol_test,trad_clgsngo,69.33333999999999,6.8313297876767765,0.3786,0.3462857201791607,0.6934,0.06860612217579422,0.202,0.03786819245752297,0.49151999999999996,0.10290839130022392,0.5535333333333334,0.042646219058669194
all_languages,bikol_test,xlmr,75.33333999999999,10.69787465915543,0.7482,0.12397257761295441,0.7534000000000001,0.1070154194497223,0.132,0.05821082373579676,0.60922,0.1667366396446804,0.6950666666666666,0.1416475281189976
all_languages,cebuano_test,all,75.05176,6.784404922172605,0.7518,0.0685361218628542,0.7504,0.0677997050141075,0.1412,0.04051172669734037,0.60408,0.10725761977593944,0.7282,0.06916349390313427
all_languages,cebuano_test,all_xlmr,73.64804,6.393965128384735,0.732,0.0688367634335026,0.7363999999999999,0.06381457513765956,0.1492,0.02451938009004306,0.5802400000000001,0.09920296366540667,0.7067333333333334,0.07835049457406124
all_languages,cebuano_test,mbert,74.2029,6.970306936211631,0.7426,0.06750407395113274,0.742,0.06959525845917955,0.145,0.03636619309193636,0.59046,0.10890628081061257,0.7177333333333333,0.07465118887197977
all_languages,cebuano_test,trad,66.19876000000001,4.267316609181937,0.6446,0.07226894215359736,0.662,0.042655597522482304,0.2452,0.034564432586113726,0.4337,0.07659252574500985,0.5872666666666666,0.07113617613813353
all_languages,cebuano_test,trad_clgsngo,67.3499,5.568147779109318,0.6544,0.07515517280932825,0.6736,0.0556264325658225,0.2318,0.047483681407405644,0.4585,0.1007942210645035,0.6114,0.08630804005292773
all_languages,cebuano_test,xlmr,75.0766,6.412400009746742,0.7468,0.0638764432322276,0.7508,0.06441816513996654,0.1386,0.023712865706194176,0.60372,0.09895340822831726,0.7210666666666666,0.0755815968194492
all_languages,tagalog_test,all,53.96225999999999,6.342527215392928,0.54,0.062405929205484975,0.5396,0.06360267289980823,0.242,0.035199431813596076,0.29962,0.09857325702237903,0.5343333333333333,0.06578753681359412
all_languages,tagalog_test,all_xlmr,54.717,5.966585489205699,0.5468,0.052770256774057896,0.5471999999999999,0.05976788435271908,0.23200000000000004,0.03222576608864404,0.31422,0.08772808558266845,0.5356,0.047339436226282006
all_languages,tagalog_test,mbert,51.698119999999996,6.617263418664848,0.5186,0.06578221644183171,0.517,0.06615134163416489,0.2542,0.03486688973797346,0.26698,0.0998930277847258,0.5166000000000001,0.0663728525494841
all_languages,tagalog_test,trad,44.15092,5.26954562291665,0.4324,0.05045096629401662,0.44160000000000005,0.05306411216632196,0.273,0.03464823227814086,0.16499999999999998,0.08480026532977358,0.40693333333333326,0.04499036933981909
all_languages,tagalog_test,trad_clgsngo,45.283,5.500920017597057,0.453,0.06163197222221594,0.4528,0.055138008669156705,0.2686,0.03399705869630487,0.18048,0.08461256998815245,0.4200666666666667,0.04430412571708818
all_languages,tagalog_test,xlmr,53.20756,4.88386070726838,0.528,0.04864668539582117,0.532,0.048872282533149625,0.2412,0.029380265485526164,0.2907,0.07225991281478272,0.5220666666666667,0.04166759998954694
bi_bikol_tagalog,bikol_test,all,72.66666000000001,9.831951315379872,0.7226,0.12568333222826328,0.7266,0.09862454055659779,0.155,0.07576608740063065,0.55788,0.16797178929808426,0.6628000000000001,0.14713346171267624
bi_bikol_tagalog,bikol_test,all_xlmr,70.66668,4.346125988969946,0.6843999999999999,0.04595432515008789,0.7068,0.0433728025379961,0.154,0.027928480087537885,0.5301600000000001,0.06717237527436412,0.6082,0.03984595337044908
bi_bikol_tagalog,bikol_test,mbert,70.66666000000001,10.645800424016976,0.7024,0.13397126557586891,0.7066,0.10633343782648993,0.1662,0.08408150807401113,0.52564,0.18281126332915051,0.6404,0.1431330771617022
bi_bikol_tagalog,bikol_test,trad,68.66666000000001,6.055317222739035,0.21880000000000002,0.2996050733882856,0.6866,0.060719025025110514,0.2152,0.037043218002759976,0.4708,0.0996439912889884,0.506,0.04192387280668512
bi_bikol_tagalog,bikol_test,trad_clgsngo,72.66668,4.346137493453239,0.1156,0.2584894581989757,0.7268,0.04348792935976603,0.1998,0.027626074639731206,0.53208,0.07440115590499922,0.5354666666666666,0.03196491131781153
bi_bikol_tagalog,bikol_test,xlmr,69.33332,5.477213403456172,0.6849999999999999,0.06408978077665739,0.6931999999999999,0.05465070905303975,0.16219999999999998,0.04753104248804142,0.5086999999999999,0.09730321166333619,0.605,0.07062813414874648
bi_bikol_tagalog,cebuano_test,all,57.0062,7.390451921229174,0.5740000000000001,0.06230971031869754,0.5702,0.07379498627955697,0.2284,0.058397773930176484,0.33164,0.12034568126858562,0.5442,0.06611337064299307
