train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa
bi_bikol_tagalog,tagalog_test,xlmr,47.1698,0.486,0.472,0.305,0.1714
bi_bikol_tagalog,bikol_test,xlmr,70.0,0.697,0.7,0.165,0.5135
bi_bikol_tagalog,cebuano_test,xlmr,57.1429,0.483,0.571,0.293,0.2948
bi_bikol_tagalog,tagalog_test,all_xlmr,43.3962,0.409,0.434,0.323,0.1117
bi_bikol_tagalog,bikol_test,all_xlmr,73.3333,0.725,0.733,0.169,0.558
bi_bikol_tagalog,cebuano_test,all_xlmr,57.1429,0.483,0.571,0.275,0.3115
bi_cebuano_bikol,tagalog_test,trad,47.1698,0.642,0.472,0.278,0.1908
bi_cebuano_bikol,bikol_test,trad,56.6667,0.0,0.567,0.28,0.2737
bi_cebuano_bikol,cebuano_test,trad,64.2857,0.0,0.643,0.254,0.3999
bi_cebuano_bikol,tagalog_test,trad_clgsngo,43.3962,0.0,0.434,0.32,0.1152
bi_cebuano_bikol,bikol_test,trad_clgsngo,53.3333,0.0,0.533,0.29,0.2265
bi_cebuano_bikol,cebuano_test,trad_clgsngo,64.2857,0.0,0.643,0.18,0.4348
bi_cebuano_bikol,tagalog_test,mbert,45.283,0.317,0.453,0.311,0.1485
bi_cebuano_bikol,bikol_test,mbert,60.0,0.576,0.6,0.226,0.3443
bi_cebuano_bikol,cebuano_test,mbert,64.2857,0.655,0.643,0.178,0.4555
bi_cebuano_bikol,tagalog_test,all,45.283,0.317,0.453,0.311,0.1485
bi_cebuano_bikol,bikol_test,all,63.3333,0.583,0.633,0.219,0.3889
bi_cebuano_bikol,cebuano_test,all,65.7143,0.681,0.657,0.166,0.4812
bi_cebuano_bikol,tagalog_test,xlmr,47.1698,0.717,0.472,0.316,0.1639
bi_cebuano_bikol,bikol_test,xlmr,70.0,0.742,0.7,0.171,0.5135
bi_cebuano_bikol,cebuano_test,xlmr,62.8571,0.665,0.629,0.16,0.4451
bi_cebuano_bikol,tagalog_test,all_xlmr,49.0566,0.685,0.491,0.299,0.197
bi_cebuano_bikol,bikol_test,all_xlmr,70.0,0.742,0.7,0.171,0.5135
bi_cebuano_bikol,cebuano_test,all_xlmr,67.1429,0.697,0.671,0.145,0.5022
bi_tagalog_cebuano,tagalog_test,trad,50.9434,0.499,0.509,0.281,0.2293
bi_tagalog_cebuano,bikol_test,trad,36.6667,0.486,0.367,0.288,0.064
bi_tagalog_cebuano,cebuano_test,trad,71.4286,0.739,0.714,0.138,0.5641
bi_tagalog_cebuano,tagalog_test,trad_clgsngo,54.717,0.534,0.547,0.258,0.2894
bi_tagalog_cebuano,bikol_test,trad_clgsngo,33.3333,0.35,0.333,0.327,-0.005
bi_tagalog_cebuano,cebuano_test,trad_clgsngo,71.4286,0.739,0.714,0.138,0.5617
bi_tagalog_cebuano,tagalog_test,mbert,50.9434,0.565,0.509,0.283,0.237
bi_tagalog_cebuano,bikol_test,mbert,43.3333,0.586,0.433,0.212,0.1981
bi_tagalog_cebuano,cebuano_test,mbert,71.4286,0.753,0.714,0.132,0.563
bi_tagalog_cebuano,tagalog_test,all,52.8302,0.632,0.528,0.274,0.261
bi_tagalog_cebuano,bikol_test,all,43.3333,0.617,0.433,0.186,0.213
bi_tagalog_cebuano,cebuano_test,all,72.8571,0.761,0.729,0.126,0.5854
bi_tagalog_cebuano,tagalog_test,xlmr,62.2642,0.706,0.623,0.219,0.4085
bi_tagalog_cebuano,bikol_test,xlmr,40.0,0.68,0.4,0.234,0.1469
bi_tagalog_cebuano,cebuano_test,xlmr,67.1429,0.781,0.671,0.124,0.513
