train_set,test_set,feature_set,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std
all_languages,bikol_test,all,65.99998000000001,12.780178663344264,0.7468,0.11477238343782883,0.6597999999999999,0.12765852889642743,0.1472,0.09116304075665752,0.4808,0.2024732821880457,0.6186666666666667,0.13417505149782666
all_languages,bikol_test,all_xlmr,66.0,14.414502727808548,0.7436,0.09896615583117294,0.6599999999999999,0.144183910336764,0.13199999999999998,0.04367493560384491,0.49302,0.19505299792620465,0.604,0.14667708296344953
all_languages,bikol_test,mbert,68.66668,14.25949741986021,0.721,0.1419013742005341,0.6868000000000001,0.14257173632947026,0.1592,0.11654055088251469,0.5074,0.23966489104581007,0.6505333333333334,0.1477004476033239
all_languages,bikol_test,xlmr,62.66666,15.527775829879818,0.7060000000000001,0.09922197337283709,0.6266,0.15550659150016763,0.1502,0.053504205442189305,0.44417999999999996,0.21448141411320465,0.5828,0.14968273855799874
all_languages,cebuano_test,all,70.19460000000001,6.532754936472053,0.7258,0.04776714351936906,0.7020000000000001,0.06531462317123167,0.149,0.030454884665682126,0.53636,0.09977062693999666,0.6886000000000001,0.06943838195759527
all_languages,cebuano_test,all_xlmr,73.92960000000001,4.643264017369677,0.7615999999999999,0.05305468876546165,0.7394000000000001,0.04636593577185737,0.1316,0.021892921230388607,0.59346,0.0718899367088329,0.7282,0.05965856555805252
all_languages,cebuano_test,mbert,68.47618,4.670567223261001,0.7062,0.029354727046934048,0.685,0.046491934784433295,0.16519999999999999,0.01421970463828275,0.50668,0.065726455860635,0.6670666666666667,0.03679930554900306
all_languages,cebuano_test,xlmr,73.91720000000001,4.397978212201603,0.7544,0.0558103932973062,0.739,0.043965895873961255,0.1326,0.02528438253151538,0.5915,0.07050219854727936,0.7224666666666667,0.06013992942389532
all_languages,tagalog_test,all,55.09434,6.855051796886729,0.6042,0.0783913260507819,0.5512,0.06859081571172633,0.24420000000000003,0.03778491762595228,0.30956,0.10626927119351107,0.5239333333333333,0.07752755782444211
all_languages,tagalog_test,all_xlmr,51.32075999999999,3.1003287645022435,0.502,0.05374476718714111,0.5132,0.030857738089497086,0.26680000000000004,0.026574423794317726,0.24943999999999997,0.05577286974865108,0.4774,0.0664079981796035
all_languages,tagalog_test,mbert,56.226440000000004,5.402972956437965,0.5833999999999999,0.038344491129756804,0.5624,0.054076797242440335,0.2352,0.032049960998416185,0.32896000000000003,0.08353064108457448,0.5377333333333334,0.05894507801523571
all_languages,tagalog_test,xlmr,51.32075999999999,3.1003287645022413,0.5032,0.05444905876137811,0.5132,0.03070342000494414,0.26639999999999997,0.027382476148076897,0.24892000000000003,0.0577628946643085,0.47300000000000003,0.06658453273846712
bi_bikol_tagalog,bikol_test,all,66.66668000000001,10.274050375192836,0.6872,0.10393363267008422,0.6668000000000001,0.10301067905804717,0.176,0.08244695264228993,0.47278000000000003,0.17030887234668662,0.6100000000000001,0.1051131665291165
bi_bikol_tagalog,bikol_test,all_xlmr,64.0,6.41177735811218,0.6612,0.08124469213431731,0.64,0.06394528911499271,0.1768,0.05024639290536187,0.43246,0.11272780491076727,0.5696666666666667,0.09557632203288284
bi_bikol_tagalog,bikol_test,mbert,62.66666,7.601172424238247,0.6656000000000001,0.10107818755794941,0.6266,0.07604143607270972,0.1896,0.07035126153808471,0.41274,0.13472782934494268,0.5706666666666667,0.09712763652935129
bi_bikol_tagalog,bikol_test,xlmr,63.33334,6.666687500025783,0.6574,0.08517804881540782,0.6334,0.06687525700885194,0.1762,0.05122206555772619,0.4241400000000001,0.11752356359471065,0.5638,0.10200533755097764
bi_bikol_tagalog,cebuano_test,all,57.86334000000001,4.782327058347228,0.5858,0.07192148496798437,0.5788,0.047777609818826186,0.2116,0.03764704503676218,0.35338,0.06502039679977352,0.5429999999999999,0.06472033855151113
bi_bikol_tagalog,cebuano_test,all_xlmr,53.86749999999999,4.672233467518505,0.492,0.04939129477954595,0.5386,0.04684335598566782,0.26139999999999997,0.032989392234474384,0.27282,0.06367249798774978,0.4703333333333333,0.0474722140953117
bi_bikol_tagalog,cebuano_test,mbert,56.14492,5.380674494150338,0.5782,0.06870735040736181,0.5614,0.05383121770868646,0.20739999999999997,0.025715753926338628,0.33566,0.06810747389237103,0.5258,0.07675234343146942
bi_bikol_tagalog,cebuano_test,xlmr,54.438919999999996,4.113054562852284,0.4896,0.05233832247980443,0.5444,0.041028039192727676,0.2484,0.02569630323606879,0.28656000000000004,0.05459205986221806,0.46626666666666666,0.04933299549433872
bi_bikol_tagalog,tagalog_test,all,55.4717,6.342533165068983,0.5764,0.08953658470145039,0.5548,0.06354289889515587,0.23979999999999996,0.033958798565320296,0.32212,0.09546814652018755,0.5524666666666667,0.06485950628516651
bi_bikol_tagalog,tagalog_test,all_xlmr,56.98116,6.855084825733378,0.611,0.08469651704763306,0.5700000000000001,0.06860393574715665,0.2104,0.024480604567698076,0.35832,0.08984112087457503,0.5537333333333334,0.072249336790497
bi_bikol_tagalog,tagalog_test,mbert,53.20756,5.0628156719359225,0.5462,0.05355557860764831,0.532,0.05059150126256382,0.2516,0.026959228475607375,0.28624,0.07780056555064366,0.5293333333333333,0.051387957949525734
bi_bikol_tagalog,tagalog_test,xlmr,58.11322,6.723977912069609,0.5996,0.05962214353744758,0.5814,0.0673037888978028,0.207,0.023622023622035426,0.3726,0.08838410490580305,0.5704666666666667,0.06885516199482314
bi_cebuano_bikol,bikol_test,all,76.66666000000001,8.819167887221557,0.7762,0.09889236573163776,0.7666000000000001,0.0881606488179392,0.1348,0.044098752816831455,0.62486,0.1363663924872987,0.7046666666666666,0.08968060610361143
bi_cebuano_bikol,bikol_test,all_xlmr,72.0,9.603225731232186,0.7445999999999999,0.0700485545889421,0.72,0.09588795544801237,0.1632,0.04092920717531675,0.5518799999999999,0.14334296983110117,0.6546,0.09882093795232762
bi_cebuano_bikol,bikol_test,mbert,72.66666000000001,10.903617646359397,0.7436,0.13586868660585485,0.7266,0.10903118819860676,0.16,0.07219418259112018,0.55964,0.17854682299049737,0.6636,0.1308490224138746
bi_cebuano_bikol,bikol_test,xlmr,73.33332,10.274001708779302,0.7604,0.08099876542269024,0.7332,0.1025241434980073,0.1652,0.041715704476851405,0.5687599999999999,0.15338788413691612,0.6696666666666666,0.10881635906425102
bi_cebuano_bikol,cebuano_test,all,71.05174,5.346613145066698,0.7266,0.04510321496301563,0.7106,0.05357518082097343,0.15760000000000002,0.03400441147851261,0.54364,0.08074319166344615,0.6855333333333333,0.04013283499136886
bi_cebuano_bikol,cebuano_test,all_xlmr,72.19876000000001,3.369145598367634,0.73,0.027267196408872013,0.722,0.03348880409928073,0.1526,0.02278815481779952,0.56208,0.052402690770608315,0.6976666666666667,0.03391001163209604
bi_cebuano_bikol,cebuano_test,mbert,72.19876000000001,5.357043734467738,0.7378,0.056424285551524705,0.722,0.053595708783446515,0.1482,0.04350517210631397,0.56128,0.08503618053511104,0.6964666666666667,0.04785719497746516
bi_cebuano_bikol,cebuano_test,xlmr,73.34576,4.848657692392813,0.7352000000000001,0.046991488591020404,0.7333999999999999,0.04861378405349659,0.1502,0.02121791695713789,0.57836,0.0741843177497778,0.7068666666666668,0.05595911205712808
bi_cebuano_bikol,tagalog_test,all,43.3962,2.9832927446028514,0.3742,0.23195732366105626,0.434,0.03004163777159961,0.2984,0.02482539022855433,0.13742000000000001,0.053510438234049246,0.36993333333333334,0.015993748778819806
bi_cebuano_bikol,tagalog_test,all_xlmr,45.660360000000004,4.88386070726838,0.5332,0.11633443170446142,0.4566,0.048911143924467756,0.2884,0.03126979373133119,0.1693,0.07084535976336066,0.4100666666666667,0.04669427754613574
bi_cebuano_bikol,tagalog_test,mbert,44.15092,2.151282992077054,0.491,0.0858981955572991,0.44160000000000005,0.021663333076883652,0.29700000000000004,0.02353720459187962,0.14765999999999999,0.04140830834506524,0.38626666666666665,0.029009002434110382
bi_cebuano_bikol,tagalog_test,xlmr,44.52828,3.157220276128989,0.5134000000000001,0.0835781071812469,0.44539999999999996,0.03179308100829488,0.29359999999999997,0.03397499080205908,0.15192,0.05543443875426179,0.3964666666666667,0.03925175155327467
bi_tagalog_cebuano,bikol_test,all,62.66668,9.249643837035029,0.7198,0.06397812126031839,0.6268,0.09268872639107739,0.1718,0.06768456249396904,0.43126,0.12054645577535657,0.6013333333333333,0.09398788337983902
bi_tagalog_cebuano,bikol_test,all_xlmr,58.0,7.673913241951593,0.6416000000000001,0.09096043095764225,0.58,0.07677564718060015,0.2122,0.05683484846465239,0.34702,0.12307163361229914,0.5003333333333334,0.10150369451404222
bi_tagalog_cebuano,bikol_test,mbert,54.66666,12.823572911751228,0.6796,0.08717109612709942,0.5466,0.1280714644251404,0.199,0.0754022546082012,0.32439999999999997,0.15649752394207392,0.5208666666666667,0.11343539522075502
bi_tagalog_cebuano,bikol_test,xlmr,57.33334,7.226505225764389,0.6252000000000001,0.10714336190357293,0.5734,0.07237264676657888,0.21480000000000002,0.05760815914434344,0.3351,0.11810234968026673,0.48319999999999996,0.0997582076823757
bi_tagalog_cebuano,cebuano_test,all,70.46376000000001,6.9760493581969465,0.7018,0.0945790674515244,0.7046,0.069654863433934,0.1748,0.046056487056656846,0.52642,0.10933367276370075,0.6525333333333333,0.06472617536806712
bi_tagalog_cebuano,cebuano_test,all_xlmr,70.21118,5.863803102680032,0.6994,0.08737734260092832,0.702,0.058796258384356405,0.1762,0.03787083310411853,0.5222,0.0945872084375049,0.6444,0.07401704008012086
bi_tagalog_cebuano,cebuano_test,mbert,69.90062,5.15986184815059,0.6916,0.06382240985735342,0.6990000000000001,0.05179768334587943,0.179,0.036400549446402586,0.51682,0.08173320622611105,0.647,0.05624845676895402
bi_tagalog_cebuano,cebuano_test,xlmr,70.78676,6.451264682060412,0.6990000000000001,0.08517041739947036,0.7078,0.06467379685776922,0.179,0.03685783498796422,0.52966,0.10376178487285191,0.6529333333333334,0.08266646505351759
bi_tagalog_cebuano,tagalog_test,all,48.67924,5.876405204544697,0.48179999999999995,0.2789654100421771,0.4868,0.05866174221756455,0.2318,0.015155856953666464,0.25028,0.0690391700413613,0.4453333333333333,0.07059548301571585
bi_tagalog_cebuano,tagalog_test,all_xlmr,46.03774,7.960385922679878,0.5556,0.11907476642849234,0.46020000000000005,0.07967559224756349,0.2424,0.014758048651498613,0.21461999999999998,0.09506320003029564,0.4222,0.09283605621380808
bi_tagalog_cebuano,tagalog_test,mbert,48.67924000000001,6.3144405522579765,0.6182000000000001,0.06114899835647352,0.487,0.06319810123729983,0.2324,0.009016651263079881,0.25068,0.07181216470765937,0.4671333333333333,0.07700057719841383
bi_tagalog_cebuano,tagalog_test,xlmr,45.28302,8.748699338873179,0.5456,0.12842429676661657,0.45280000000000004,0.08729089299577589,0.24700000000000003,0.016613247725836156,0.20438,0.10356605138750824,0.4122666666666667,0.10414343740992785
mono_bikol,bikol_test,all,73.33332,7.453563651837955,0.5894,0.3373474470038272,0.7332,0.07457345372181712,0.1572,0.0542743033119726,0.56536,0.1218288676792163,0.631,0.07149164675369815
mono_bikol,bikol_test,all_xlmr,75.33332,7.673917585692458,0.7744,0.09347887461881428,0.7532,0.07681926841619881,0.15360000000000001,0.04821099459666851,0.59636,0.1256227208748481,0.6806666666666666,0.09425349978765894
mono_bikol,bikol_test,mbert,68.66668,6.055308965445116,0.5494,0.3137113322785774,0.6868000000000001,0.060635798007447714,0.18580000000000002,0.05384421974548429,0.48944,0.10385770553983947,0.5896666666666667,0.06640155620666328
mono_bikol,bikol_test,xlmr,71.33333999999999,9.603227466742625,0.7263999999999999,0.11428166957128334,0.7134,0.09590516148779485,0.1758,0.06165792730865998,0.5314,0.15610273860506102,0.6376,0.09386438207447069
