fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,mono_bikol,tagalog_test,all_xlmr,28.3019,0.0,0.283,0.283,0.0,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.147
0,mono_bikol,bikol_test,all_xlmr,83.3333,0.0,0.833,0.146,0.7076,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.616
0,mono_bikol,cebuano_test,all_xlmr,64.2857,0.0,0.643,0.328,0.3604,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.5083333333333333
0,mono_cebuano,tagalog_test,trad,45.283,0.448,0.453,0.296,0.1583,CEB,TGL,TRAD,TGL | TRAD,0.40099999999999997
0,mono_cebuano,bikol_test,trad,63.3333,0.767,0.633,0.136,0.4554,CEB,BCL,TRAD,BCL | TRAD,0.5993333333333334
0,mono_cebuano,cebuano_test,trad,87.1429,0.871,0.871,0.087,0.7937,CEB,CEB,TRAD,CEB | TRAD,0.8616666666666667
0,mono_cebuano,tagalog_test,trad_clgsngo,45.283,0.464,0.453,0.296,0.1583,CEB,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.4003333333333334
0,mono_cebuano,bikol_test,trad_clgsngo,70.0,0.815,0.7,0.098,0.5567,CEB,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.6776666666666666
0,mono_cebuano,cebuano_test,trad_clgsngo,81.4286,0.808,0.814,0.126,0.6985,CEB,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.7936666666666667
0,mono_cebuano,tagalog_test,mbert,37.7358,0.383,0.377,0.332,0.0525,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.37733333333333335
0,mono_cebuano,bikol_test,mbert,63.3333,0.739,0.633,0.131,0.4444,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.5773333333333334
0,mono_cebuano,cebuano_test,mbert,81.4286,0.832,0.814,0.149,0.6932,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7886666666666667
0,mono_cebuano,tagalog_test,all,47.1698,0.498,0.472,0.277,0.1978,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.45
0,mono_cebuano,bikol_test,all,80.0,0.831,0.8,0.065,0.6859,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.7416666666666667
0,mono_cebuano,cebuano_test,all,77.1429,0.774,0.771,0.183,0.6196,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.7466666666666667
0,mono_cebuano,tagalog_test,xlmr,32.0755,0.275,0.321,0.321,0.0052,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.28833333333333333
0,mono_cebuano,bikol_test,xlmr,80.0,0.874,0.8,0.053,0.697,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.7709999999999999
0,mono_cebuano,cebuano_test,xlmr,78.5714,0.785,0.786,0.154,0.6495,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7719999999999999
0,mono_cebuano,tagalog_test,all_xlmr,32.0755,0.297,0.321,0.327,-0.001,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.302
0,mono_cebuano,bikol_test,all_xlmr,76.6667,0.867,0.767,0.059,0.6517,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.7416666666666667
0,mono_cebuano,cebuano_test,all_xlmr,81.4286,0.814,0.814,0.135,0.6981,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.8063333333333333
0,bi_bikol_tagalog,tagalog_test,trad,47.1698,0.473,0.472,0.258,0.2098,TGL+BCL,TGL,TRAD,TGL | TRAD,0.46366666666666667
0,bi_bikol_tagalog,bikol_test,trad,70.0,0.698,0.7,0.153,0.5187,TGL+BCL,BCL,TRAD,BCL | TRAD,0.6036666666666667
0,bi_bikol_tagalog,cebuano_test,trad,50.0,0.542,0.5,0.339,0.1893,TGL+BCL,CEB,TRAD,CEB | TRAD,0.5176666666666666
0,bi_bikol_tagalog,tagalog_test,trad_clgsngo,45.283,0.453,0.453,0.275,0.1745,TGL+BCL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.4443333333333333
