train_set,test_set,feature_set,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std
all_languages,bikol_test,all,72.0,9.006186145644556,0.6664,0.1327433614159292,0.72,0.09021640649017226,0.18180000000000002,0.05073164692773142,0.53426,0.14781993437963636,0.5721333333333333,0.10127097862226428
all_languages,bikol_test,all_xlmr,74.00002,9.831910631560882,0.5786,0.3476575901659562,0.7402,0.09821761552796934,0.16240000000000002,0.06158977187812923,0.5705199999999999,0.16394065084657924,0.6204,0.13517219470816558
all_languages,bikol_test,mbert,73.33333999999999,7.817334726298983,0.6045999999999999,0.3437663450659474,0.7333999999999999,0.07792496390759508,0.1748,0.05124158467494931,0.5579000000000001,0.12777486059471949,0.619,0.08278385510875093
all_languages,bikol_test,trad,64.66666000000001,9.006193547942436,0.679,0.11363318177363513,0.6466000000000001,0.09029008804957496,0.1658,0.060841597612160056,0.45908,0.1329604527669788,0.5952666666666666,0.10736474695582757
all_languages,bikol_test,trad_clgsngo,67.33333999999999,6.8312712336723935,0.6748,0.0734179814486887,0.6734,0.06802058511950627,0.173,0.03872337795182647,0.48418,0.09714801593444924,0.6078,0.09007546219081472
all_languages,bikol_test,xlmr,74.0,6.411777358112179,0.3096,0.4243056681214617,0.74,0.06394528911499266,0.1702,0.04699680840227344,0.56512,0.1082814711758203,0.586,0.10322198301610841
all_languages,cebuano_test,all,75.34576,5.736133927829796,0.7504,0.07320724007910694,0.7534,0.057404703640032854,0.16519999999999999,0.028908476265621468,0.5966400000000001,0.09395207821011729,0.7072666666666667,0.07501385057292939
all_languages,cebuano_test,all_xlmr,73.91304,5.559424063965618,0.7266,0.0699199542333946,0.7392,0.05571983488848474,0.1724,0.032943891694819545,0.57374,0.09107690706210878,0.6909333333333334,0.068790503220527
all_languages,cebuano_test,mbert,76.4969,7.287440981236143,0.7554000000000001,0.08608890753169074,0.7647999999999999,0.07289170048777843,0.1488,0.03912416133286438,0.61746,0.11936122904863204,0.7223333333333334,0.08962483534774897
all_languages,cebuano_test,trad,77.63148,7.485291355852485,0.7746,0.07485853324772,0.7762,0.0748511856953516,0.14179999999999998,0.053802416302616,0.63708,0.12508967583297995,0.7468,0.08804878698135996
all_languages,cebuano_test,trad_clgsngo,75.92134,8.45369430769767,0.7558,0.09052182057382628,0.7592000000000001,0.08475671064877403,0.153,0.05120546845796843,0.6096999999999999,0.13867023833541217,0.7290666666666666,0.09994815322622695
