fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,Model,Test_Lang,Features,col,f1_macro
0,mono_bikol,tagalog_test,all_xlmr,32.0755,0.0,0.321,0.271,0.045,BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.23266666666666666
0,mono_bikol,bikol_test,all_xlmr,90.0,0.911,0.9,0.078,0.8315,BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.8203333333333332
0,mono_bikol,cebuano_test,all_xlmr,65.7143,0.636,0.657,0.298,0.4,BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.547
0,mono_cebuano,tagalog_test,trad,50.9434,0.522,0.509,0.265,0.2453,CEB,TGL,TRAD,TGL | TRAD,0.47633333333333333
0,mono_cebuano,bikol_test,trad,56.6667,0.752,0.567,0.132,0.381,CEB,BCL,TRAD,BCL | TRAD,0.5676666666666667
0,mono_cebuano,cebuano_test,trad,68.5714,0.672,0.686,0.198,0.4891,CEB,CEB,TRAD,CEB | TRAD,0.6496666666666667
0,mono_cebuano,tagalog_test,trad_clgsngo,45.283,0.52,0.453,0.293,0.1619,CEB,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.4286666666666667
0,mono_cebuano,bikol_test,trad_clgsngo,56.6667,0.776,0.567,0.132,0.375,CEB,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.5630000000000001
0,mono_cebuano,cebuano_test,trad_clgsngo,65.7143,0.651,0.657,0.21,0.437,CEB,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.6046666666666667
0,mono_cebuano,tagalog_test,mbert,47.1698,0.0,0.472,0.289,0.1908,CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.37200000000000005
0,mono_cebuano,bikol_test,mbert,80.0,0.796,0.8,0.1,0.6757,CEB,BCL,mBERT Embdng,BCL | mBERT Embdng,0.722
0,mono_cebuano,cebuano_test,mbert,75.7143,0.752,0.757,0.147,0.6111,CEB,CEB,mBERT Embdng,CEB | mBERT Embdng,0.7403333333333334
0,mono_cebuano,tagalog_test,all,45.283,0.329,0.453,0.293,0.1674,CEB,TGL,ALL (mBERT),TGL | ALL (mBERT),0.36833333333333335
0,mono_cebuano,bikol_test,all,80.0,0.832,0.8,0.075,0.6859,CEB,BCL,ALL (mBERT),BCL | ALL (mBERT),0.7486666666666667
0,mono_cebuano,cebuano_test,all,77.1429,0.764,0.771,0.141,0.6323,CEB,CEB,ALL (mBERT),CEB | ALL (mBERT),0.751
0,mono_cebuano,tagalog_test,xlmr,41.5094,0.0,0.415,0.299,0.1195,CEB,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.3293333333333333
0,mono_cebuano,bikol_test,xlmr,70.0,0.776,0.7,0.108,0.5477,CEB,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.6649999999999999
0,mono_cebuano,cebuano_test,xlmr,80.0,0.838,0.8,0.161,0.668,CEB,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.7716666666666666
0,mono_cebuano,tagalog_test,all_xlmr,41.5094,0.0,0.415,0.299,0.1195,CEB,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.3293333333333333
0,mono_cebuano,bikol_test,all_xlmr,66.6667,0.764,0.667,0.114,0.505,CEB,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.6353333333333334
0,mono_cebuano,cebuano_test,all_xlmr,80.0,0.838,0.8,0.161,0.668,CEB,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.7716666666666666
0,bi_bikol_tagalog,tagalog_test,trad,47.1698,0.479,0.472,0.264,0.2081,TGL+BCL,TGL,TRAD,TGL | TRAD,0.3983333333333334
0,bi_bikol_tagalog,bikol_test,trad,66.6667,0.603,0.667,0.197,0.4475,TGL+BCL,BCL,TRAD,BCL | TRAD,0.5033333333333333
0,bi_bikol_tagalog,cebuano_test,trad,70.0,0.785,0.7,0.2,0.5044,TGL+BCL,CEB,TRAD,CEB | TRAD,0.5599999999999999
0,bi_bikol_tagalog,tagalog_test,trad_clgsngo,50.9434,0.523,0.509,0.268,0.2437,TGL+BCL,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.4673333333333334
0,bi_bikol_tagalog,bikol_test,trad_clgsngo,70.0,0.611,0.7,0.191,0.4944,TGL+BCL,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.5183333333333334
0,bi_bikol_tagalog,cebuano_test,trad_clgsngo,60.0,0.586,0.6,0.237,0.3677,TGL+BCL,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.5810000000000001
0,bi_bikol_tagalog,tagalog_test,mbert,50.9434,0.512,0.509,0.243,0.2631,TGL+BCL,TGL,mBERT Embdng,TGL | mBERT Embdng,0.498
0,bi_bikol_tagalog,bikol_test,mbert,90.0,0.906,0.9,0.068,0.837,TGL+BCL,BCL,mBERT Embdng,BCL | mBERT Embdng,0.896
0,bi_bikol_tagalog,cebuano_test,mbert,58.5714,0.547,0.586,0.229,0.3531,TGL+BCL,CEB,mBERT Embdng,CEB | mBERT Embdng,0.5353333333333333
0,bi_bikol_tagalog,tagalog_test,all,50.9434,0.523,0.509,0.262,0.2519,TGL+BCL,TGL,ALL (mBERT),TGL | ALL (mBERT),0.48900000000000005
0,bi_bikol_tagalog,bikol_test,all,70.0,0.821,0.7,0.098,0.5588,TGL+BCL,BCL,ALL (mBERT),BCL | ALL (mBERT),0.6709999999999999
0,bi_bikol_tagalog,cebuano_test,all,58.5714,0.575,0.586,0.232,0.3564,TGL+BCL,CEB,ALL (mBERT),CEB | ALL (mBERT),0.5690000000000001
0,bi_bikol_tagalog,tagalog_test,xlmr,60.3774,0.617,0.604,0.19,0.4073,TGL+BCL,TGL,XLM-R Embdng,TGL | XLM-R Embdng,0.5770000000000001
0,bi_bikol_tagalog,bikol_test,xlmr,66.6667,0.698,0.667,0.159,0.4792,TGL+BCL,BCL,XLM-R Embdng,BCL | XLM-R Embdng,0.6143333333333333
0,bi_bikol_tagalog,cebuano_test,xlmr,57.1429,0.518,0.571,0.241,0.3248,TGL+BCL,CEB,XLM-R Embdng,CEB | XLM-R Embdng,0.504
0,bi_bikol_tagalog,tagalog_test,all_xlmr,58.4906,0.588,0.585,0.204,0.3765,TGL+BCL,TGL,ALL (XLM-R),TGL | ALL (XLM-R),0.5453333333333333
0,bi_bikol_tagalog,bikol_test,all_xlmr,63.3333,0.713,0.633,0.153,0.4388,TGL+BCL,BCL,ALL (XLM-R),BCL | ALL (XLM-R),0.5926666666666667
0,bi_bikol_tagalog,cebuano_test,all_xlmr,58.5714,0.543,0.586,0.223,0.3498,TGL+BCL,CEB,ALL (XLM-R),CEB | ALL (XLM-R),0.503
0,bi_cebuano_bikol,tagalog_test,trad,45.283,0.309,0.453,0.266,0.1885,BCL+CEB,TGL,TRAD,TGL | TRAD,0.37833333333333335
0,bi_cebuano_bikol,bikol_test,trad,76.6667,0.662,0.767,0.162,0.6,BCL+CEB,BCL,TRAD,BCL | TRAD,0.5696666666666667
0,bi_cebuano_bikol,cebuano_test,trad,71.4286,0.791,0.714,0.224,0.5186,BCL+CEB,CEB,TRAD,CEB | TRAD,0.6066666666666667
0,bi_cebuano_bikol,tagalog_test,trad_clgsngo,47.1698,0.308,0.472,0.255,0.2165,BCL+CEB,TGL,TRAD+CrossNGO,TGL | TRAD+CrossNGO,0.38366666666666666
0,bi_cebuano_bikol,bikol_test,trad_clgsngo,76.6667,0.662,0.767,0.162,0.6,BCL+CEB,BCL,TRAD+CrossNGO,BCL | TRAD+CrossNGO,0.5696666666666667
0,bi_cebuano_bikol,cebuano_test,trad_clgsngo,70.0,0.692,0.7,0.22,0.5,BCL+CEB,CEB,TRAD+CrossNGO,CEB | TRAD+CrossNGO,0.5950000000000001
0,bi_cebuano_bikol,tagalog_test,mbert,45.283,0.329,0.453,0.293,0.1674,BCL+CEB,TGL,mBERT Embdng,TGL | mBERT Embdng,0.36833333333333335
