train_set,test_set,feature_set,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,precision_weighted_mean,precision_weighted_std,recall_weighted_mean,recall_weighted_std,kappa_mean,kappa_std,f1_macro_mean,f1_macro_std
all_languages,bikol_test,all,68.0,12.605135637707356,0.7418,0.10808885233917515,0.6799999999999999,0.12627153281717932,0.1646,0.10156918824131657,0.49782000000000004,0.2089761756756018,0.6319333333333332,0.14358377345647386
all_languages,bikol_test,all_xlmr,66.66666000000001,13.333350000018752,0.7198,0.10431538716795331,0.6666000000000001,0.13350018726578625,0.16360000000000002,0.06562240471058646,0.48263999999999996,0.19045195719655916,0.6062666666666667,0.13744117933784536
all_languages,bikol_test,mbert,68.66668,13.038395862490137,0.724,0.11258330249197707,0.6868000000000001,0.1302946660458517,0.1738,0.11373961491054907,0.5010600000000001,0.21906627535976417,0.6431333333333333,0.13798703642814505
all_languages,bikol_test,trad,56.66668,6.236113462085184,0.6788000000000001,0.13201780182990472,0.5668,0.0625395874626624,0.186,0.06864036713188532,0.3496,0.08316023689239947,0.48360000000000003,0.07480433736681907
all_languages,bikol_test,trad_clgsngo,63.33334,6.666650000037498,0.5864,0.329759457787036,0.6334,0.06650037593878697,0.1712,0.04803852620553633,0.43708,0.07348691720299608,0.5526,0.05432791384014502
all_languages,bikol_test,xlmr,68.0,11.450388154556164,0.7048,0.1115334030683185,0.6799999999999999,0.11462547709824374,0.16440000000000002,0.07069865628143154,0.49363999999999997,0.18366226612998113,0.6122666666666666,0.13618520885584856
all_languages,cebuano_test,all,70.7826,6.3888349297817975,0.7242,0.04700744621865773,0.7078,0.06403280409290225,0.1522,0.029844597501055364,0.5413399999999999,0.09628747582110567,0.6872,0.06246803627100475
all_languages,cebuano_test,all_xlmr,72.21115999999999,5.737631723368097,0.7396,0.07329938608201299,0.7222000000000001,0.05732974794990816,0.14220000000000002,0.03677227216259557,0.56432,0.09596010629423044,0.7031333333333333,0.07884605253276793
all_languages,cebuano_test,mbert,71.3623,4.958400837467662,0.7222,0.031979681049066136,0.7138,0.049514644298429535,0.15699999999999997,0.012409673645990858,0.54636,0.07215918513952331,0.6881333333333333,0.050306615425364846
all_languages,cebuano_test,trad,67.04764,4.633980696766012,0.5626,0.31686479766613396,0.6704000000000001,0.046484405987384625,0.188,0.023926972228010802,0.47990000000000005,0.06893565840695222,0.6274666666666666,0.09226941229055514
all_languages,cebuano_test,trad_clgsngo,65.03106,4.5935361899085985,0.6602,0.04494107252836762,0.6504,0.0458726498035594,0.19039999999999999,0.018406520583749662,0.45380000000000004,0.06271698334582107,0.6141333333333334,0.07421612583080132
