Model,TGL | mBERT Embdng,TGL | ALL (mBERT),TGL | XLM-R Embdng,TGL | ALL (XLM-R),BCL | mBERT Embdng,BCL | ALL (mBERT),BCL | XLM-R Embdng,BCL | ALL (XLM-R),CEB | mBERT Embdng,CEB | ALL (mBERT),CEB | XLM-R Embdng,CEB | ALL (XLM-R)
TGL,43.7736,44.150940000000006,45.660399999999996,46.79246,31.33334,34.0,32.66666,32.0,34.96068,35.82194,31.801260000000003,32.37682
BCL,26.79246,28.30188,23.77358,24.90566,59.33334,61.33332,60.66666,62.66666,51.316779999999994,53.03934,50.17806,50.74948
CEB,33.20754,32.83018,36.226420000000005,38.1132,38.66666,42.66666,44.0,45.33334,58.21532,58.505179999999996,58.505179999999996,70.50518
TGL+BCL,55.4717,53.20756,56.98116,58.86794,70.66666000000001,72.66666000000001,69.33332,70.66668,55.565239999999996,57.0062,57.296079999999996,57.86336
BCL+CEB,45.660360000000004,45.660360000000004,45.283,44.5283,76.66666000000001,77.33332,77.33333999999999,79.33333999999999,74.78676,75.07246,71.06004,73.63564
CEB+TGL,52.45284,53.20756,51.32075999999999,51.69812,49.99998,49.33332,51.33332,53.33332,72.48032,72.76604,70.78672,69.92544000000001
ALL,51.698119999999996,53.96225999999999,53.20756,54.717,73.33332,78.00002,75.33333999999999,75.33336,74.2029,75.05176,75.0766,73.64804
