fold,train_set,test_set,feature_set,accuracy,f1_weighted,precision_weighted,recall_weighted,kappa,f1_macro
0,bi_bikol_tagalog,tagalog_test,trad,49.0566,0.0,0.491,0.248,0.2429,0.39366666666666666
0,bi_bikol_tagalog,bikol_test,trad,73.3333,0.0,0.733,0.184,0.5429,0.5323333333333333
0,bi_bikol_tagalog,cebuano_test,trad,65.7143,0.0,0.657,0.268,0.413,0.5063333333333334
0,bi_bikol_tagalog,tagalog_test,trad_clgsngo,49.0566,0.484,0.491,0.275,0.2163,0.4493333333333333
0,bi_bikol_tagalog,bikol_test,trad_clgsngo,70.0,0.611,0.7,0.191,0.4944,0.5183333333333334
0,bi_bikol_tagalog,cebuano_test,trad_clgsngo,60.0,0.506,0.6,0.276,0.3378,0.5116666666666666
0,bi_bikol_tagalog,tagalog_test,mbert,50.9434,0.544,0.509,0.265,0.2503,0.49933333333333335
0,bi_bikol_tagalog,bikol_test,mbert,73.3333,0.794,0.733,0.101,0.596,0.713
0,bi_bikol_tagalog,cebuano_test,mbert,61.4286,0.617,0.614,0.206,0.4086,0.6113333333333334
0,bi_bikol_tagalog,tagalog_test,all,52.8302,0.524,0.528,0.245,0.2853,0.5083333333333333
0,bi_bikol_tagalog,bikol_test,all,76.6667,0.809,0.767,0.094,0.6429,0.745
0,bi_bikol_tagalog,cebuano_test,all,60.0,0.584,0.6,0.234,0.3694,0.574
0,bi_bikol_tagalog,tagalog_test,xlmr,56.6038,0.563,0.566,0.212,0.3509,0.5476666666666666
0,bi_bikol_tagalog,bikol_test,xlmr,66.6667,0.723,0.667,0.137,0.4872,0.6153333333333333
0,bi_bikol_tagalog,cebuano_test,xlmr,60.0,0.551,0.6,0.211,0.3714,0.516
0,bi_bikol_tagalog,tagalog_test,all_xlmr,60.3774,0.613,0.604,0.19,0.4061,0.5713333333333334
0,bi_bikol_tagalog,bikol_test,all_xlmr,66.6667,0.698,0.667,0.159,0.4792,0.6143333333333333
0,bi_bikol_tagalog,cebuano_test,all_xlmr,60.0,0.546,0.6,0.228,0.3649,0.5156666666666666
0,bi_cebuano_bikol,tagalog_test,trad,47.1698,0.308,0.472,0.255,0.2165,0.38366666666666666
0,bi_cebuano_bikol,bikol_test,trad,76.6667,0.0,0.767,0.175,0.5954,0.5573333333333333
0,bi_cebuano_bikol,cebuano_test,trad,71.4286,0.791,0.714,0.224,0.5186,0.6066666666666667
0,bi_cebuano_bikol,tagalog_test,trad_clgsngo,47.1698,0.0,0.472,0.252,0.2181,0.3793333333333333
0,bi_cebuano_bikol,bikol_test,trad_clgsngo,76.6667,0.662,0.767,0.162,0.6,0.5696666666666667
0,bi_cebuano_bikol,cebuano_test,trad_clgsngo,70.0,0.692,0.7,0.22,0.5,0.5950000000000001
0,bi_cebuano_bikol,tagalog_test,mbert,47.1698,0.501,0.472,0.28,0.1978,0.39999999999999997
0,bi_cebuano_bikol,bikol_test,mbert,90.0,0.911,0.9,0.078,0.8315,0.8203333333333332
0,bi_cebuano_bikol,cebuano_test,mbert,80.0,0.817,0.8,0.099,0.6841,0.7643333333333334
0,bi_cebuano_bikol,tagalog_test,all,47.1698,0.0,0.472,0.283,0.1961,0.37600000000000006
0,bi_cebuano_bikol,bikol_test,all,90.0,0.911,0.9,0.078,0.8315,0.8203333333333332
0,bi_cebuano_bikol,cebuano_test,all,78.5714,0.801,0.786,0.113,0.66,0.7453333333333333
0,bi_cebuano_bikol,tagalog_test,xlmr,41.5094,0.621,0.415,0.302,0.1157,0.3466666666666667
0,bi_cebuano_bikol,bikol_test,xlmr,83.3333,0.799,0.833,0.113,0.7191,0.7033333333333333
0,bi_cebuano_bikol,cebuano_test,xlmr,80.0,0.799,0.8,0.119,0.6818,0.7759999999999999
0,bi_cebuano_bikol,tagalog_test,all_xlmr,39.6226,0.436,0.396,0.313,0.0872,0.3363333333333333
0,bi_cebuano_bikol,bikol_test,all_xlmr,83.3333,0.799,0.833,0.113,0.7191,0.7033333333333333
0,bi_cebuano_bikol,cebuano_test,all_xlmr,77.1429,0.776,0.771,0.128,0.6389,0.7416666666666666
0,bi_tagalog_cebuano,tagalog_test,trad,39.6226,0.0,0.396,0.325,0.0732,0.27566666666666667
0,bi_tagalog_cebuano,bikol_test,trad,60.0,0.0,0.6,0.251,0.337,0.4323333333333333
0,bi_tagalog_cebuano,cebuano_test,trad,67.1429,0.0,0.671,0.227,0.4546,0.5166666666666667
0,bi_tagalog_cebuano,tagalog_test,trad_clgsngo,39.6226,0.0,0.396,0.325,0.0732,0.27566666666666667
0,bi_tagalog_cebuano,bikol_test,trad_clgsngo,56.6667,0.0,0.567,0.271,0.2857,0.4040000000000001
0,bi_tagalog_cebuano,cebuano_test,trad_clgsngo,67.1429,0.0,0.671,0.218,0.4579,0.514
0,bi_tagalog_cebuano,tagalog_test,mbert,49.0566,0.586,0.491,0.244,0.2445,0.4793333333333334
0,bi_tagalog_cebuano,bikol_test,mbert,73.3333,0.787,0.733,0.101,0.5897,0.6933333333333334
0,bi_tagalog_cebuano,cebuano_test,mbert,78.5714,0.79,0.786,0.122,0.6569,0.731
0,bi_tagalog_cebuano,tagalog_test,all,56.6038,0.615,0.566,0.218,0.3481,0.5573333333333333
0,bi_tagalog_cebuano,bikol_test,all,76.6667,0.799,0.767,0.094,0.6354,0.7213333333333333
0,bi_tagalog_cebuano,cebuano_test,all,81.4286,0.86,0.814,0.101,0.703,0.7626666666666667
0,bi_tagalog_cebuano,tagalog_test,xlmr,50.9434,0.666,0.509,0.237,0.2709,0.47000000000000003
0,bi_tagalog_cebuano,bikol_test,xlmr,66.6667,0.738,0.667,0.127,0.4949,0.608
0,bi_tagalog_cebuano,cebuano_test,xlmr,77.1429,0.792,0.771,0.143,0.6306,0.71
0,bi_tagalog_cebuano,tagalog_test,all_xlmr,50.9434,0.669,0.509,0.231,0.2755,0.4713333333333334
0,bi_tagalog_cebuano,bikol_test,all_xlmr,70.0,0.751,0.7,0.12,0.5385,0.6363333333333333
