Model,TGL | TRAD,TGL | TRAD+CrossNGO,TGL | mBERT Embdng,TGL | ALL (mBERT),TGL | XLM-R Embdng,TGL | ALL (XLM-R),BCL | TRAD,BCL | TRAD+CrossNGO,BCL | mBERT Embdng,BCL | ALL (mBERT),BCL | XLM-R Embdng,BCL | ALL (XLM-R),CEB | TRAD,CEB | TRAD+CrossNGO,CEB | mBERT Embdng,CEB | ALL (mBERT),CEB | XLM-R Embdng,CEB | ALL (XLM-R)
TGL,7.110007187619436,4.5046732587391975,12.685075254526478,12.081383576478316,2.9832927446028497,3.5298795786825368,3.333300000000002,2.788838866446036,15.527775829879822,13.864414079866483,5.055239306402816,8.628100730925667,2.7063257133981478,2.22625969576777,3.661882447594403,4.114064835050609,8.707216405660308,10.86339247449893
BCL,7.234052198802546,6.983667387698244,6.398405873575074,5.565214681842922,5.753922401110393,5.876360253337096,4.714051100486715,6.411795553743113,6.055308965445116,7.453563651837955,9.603227466742625,7.673917585692458,5.132677020522526,5.393164955107528,5.385953890723536,5.7231626827305915,5.176404866603847,5.706170612591249
CEB,5.500920017597057,4.698094112297028,3.912551754545876,3.866789341042516,5.4029729564379645,5.565260451048092,6.831285872147352,10.000000000000004,17.888531707968653,15.81137775992339,9.603265648309435,9.006186145644559,6.238071017149454,4.677823519544104,5.526798880274185,6.756476008467727,6.537348951830551,8.319700747442782
TGL+BCL,6.723959672544148,4.424938227817427,5.0628156719359225,6.342533165068983,6.723977912069609,6.855084825733378,11.05541094270131,5.0552656816432515,7.601172424238247,10.274050375192836,6.666687500025783,6.41177735811218,4.783754193831448,3.7767399204869796,5.380674494150338,4.782327058347228,4.113054562852284,4.672233467518505
BCL+CEB,4.735830414193482,3.6293322647561554,2.151282992077054,2.9832927446028514,3.157220276128989,4.88386070726838,6.411816348742373,8.02775740104296,10.903617646359397,8.819167887221557,10.274001708779302,9.603225731232186,3.626625120549407,4.8122030784246865,5.357043734467738,5.346613145066698,4.848657692392813,3.369145598367634
CEB+TGL,2.668338149485557,2.861473877567294,6.3144405522579765,5.876405204544697,8.748699338873179,7.960385922679878,6.9121213981671366,7.226491387803631,12.823572911751228,9.249643837035029,7.226505225764389,7.673913241951593,4.991864044623009,3.8379272827921054,5.15986184815059,6.9760493581969465,6.451264682060412,5.863803102680032
ALL,4.133771686002991,5.660399999999999,5.402972956437965,6.855051796886729,3.1003287645022413,3.1003287645022435,4.082482904679454,5.477222532178148,14.25949741986021,12.780178663344264,15.527775829879818,14.414502727808548,4.61206021990173,5.072016062967467,4.670567223261001,6.532754936472053,4.397978212201603,4.643264017369677
